"","iwp","lon","lat","time.rel","sat","tdiff"
"1",107.290828131834,5.427,86.199,-24,"ATMS",-7
"2",105.556087989401,4.068,85.25,-23,"ATMS",-6
"3",115.923919598242,3.605,84.261,-22,"ATMS",-5
"4",115.44195167699,3.815,83.255,-21,"ATMS",-4
"5",118.957835965669,4.331,82.234,-20,"ATMS",-3
"6",133.910040733052,4.924,81.203,-19,"ATMS",-2
"7",156.288631362708,5.488,80.188,-18,"ATMS",-1
"8",182.562068509,6.107,79.218,-17,"ATMS",0
"9",283.2513330941,6.588,78.246,-16,"ATMS",1
"10",368.198354500203,7.066,77.34,-15,"ATMS",2
"11",406.547656178941,7.55,76.531,-14,"ATMS",3
"12",370.782730256533,8.135,75.833,-13,"ATMS",4
"13",322.738749628556,8.812,75.19,-12,"ATMS",5
"14",303.831585844569,9.519,74.579,-11,"ATMS",6
"15",285.052426319795,10.246,73.982,-10,"ATMS",7
"16",261.742037776185,10.929,73.401,-9,"ATMS",8
"17",234.356564359061,11.563,72.843,-8,"ATMS",9
"18",206.398461678568,12.163,72.312,-7,"ATMS",10
"19",185.349109019282,12.702,71.798,-6,"ATMS",11
"20",171.156331605181,13.209,71.306,-5,"ATMS",12
"21",171.627285568692,13.724,70.844,-4,"ATMS",13
"22",202.230973579285,14.214,70.383,-3,"ATMS",14
"23",241.324545793317,14.697,69.942,-2,"ATMS",15
"24",245.860159046286,15.197,69.531,-1,"ATMS",16
"25",244.36307515814,15.684,69.141,0,"ATMS",17
"26",103.73446689496,5.427,86.199,-24,"ATMS",-9
"27",115.832954969096,4.068,85.25,-23,"ATMS",-8
"28",126.16449084171,3.605,84.261,-22,"ATMS",-7
"29",125.858866238952,3.815,83.255,-21,"ATMS",-6
"30",122.366509687989,4.331,82.234,-20,"ATMS",-5
"31",127.20082358884,4.924,81.203,-19,"ATMS",-4
"32",143.362853449391,5.488,80.188,-18,"ATMS",-3
"33",170.972820120187,6.107,79.218,-17,"ATMS",-2
"34",245.752454458795,6.588,78.246,-16,"ATMS",-1
"35",344.356252554453,7.066,77.34,-15,"ATMS",0
"36",410.152730349565,7.55,76.531,-14,"ATMS",1
"37",406.866305111525,8.135,75.833,-13,"ATMS",2
"38",368.848317321703,8.812,75.19,-12,"ATMS",3
"39",331.643596150326,9.519,74.579,-11,"ATMS",4
"40",296.342341199282,10.246,73.982,-10,"ATMS",5
"41",265.196751353119,10.929,73.401,-9,"ATMS",6
"42",232.573077016639,11.563,72.843,-8,"ATMS",7
"43",204.284470486042,12.163,72.312,-7,"ATMS",8
"44",184.835163026053,12.702,71.798,-6,"ATMS",9
"45",170.383754206319,13.209,71.306,-5,"ATMS",10
"46",166.713607140284,13.724,70.844,-4,"ATMS",11
"47",189.610655394966,14.214,70.383,-3,"ATMS",12
"48",223.409769932427,14.697,69.942,-2,"ATMS",13
"49",228.718994733194,15.197,69.531,-1,"ATMS",14
"50",230.800660256392,15.684,69.141,0,"ATMS",15
"51",119.899127004458,5.427,86.199,-24,"ATMS",-10
"52",117.072951838151,4.068,85.25,-23,"ATMS",-9
"53",125.119338983388,3.605,84.261,-22,"ATMS",-8
"54",123.329426457723,3.815,83.255,-21,"ATMS",-7
"55",123.344060751893,4.331,82.234,-20,"ATMS",-6
"56",127.948626867872,4.924,81.203,-19,"ATMS",-5
"57",140.167202395541,5.488,80.188,-18,"ATMS",-4
"58",165.852620275925,6.107,79.218,-17,"ATMS",-3
"59",236.859217249459,6.588,78.246,-16,"ATMS",-2
"60",342.395322541744,7.066,77.34,-15,"ATMS",-1
"61",413.728096153174,7.55,76.531,-14,"ATMS",0
"62",411.983303287236,8.135,75.833,-13,"ATMS",1
"63",377.017931742469,8.812,75.19,-12,"ATMS",2
"64",327.534596971346,9.519,74.579,-11,"ATMS",3
"65",286.700922950725,10.246,73.982,-10,"ATMS",4
"66",252.489212510624,10.929,73.401,-9,"ATMS",5
"67",218.993741474725,11.563,72.843,-8,"ATMS",6
"68",195.174401090184,12.163,72.312,-7,"ATMS",7
"69",178.760700512855,12.702,71.798,-6,"ATMS",8
"70",159.103747994192,13.209,71.306,-5,"ATMS",9
"71",147.597461714819,13.724,70.844,-4,"ATMS",10
"72",155.583315213014,14.214,70.383,-3,"ATMS",11
"73",182.523519019924,14.697,69.942,-2,"ATMS",12
"74",203.828533520075,15.197,69.531,-1,"ATMS",13
"75",225.468114438229,15.684,69.141,0,"ATMS",14
"76",128.904887004382,5.427,86.199,-24,"ATMS",-12
"77",120.442892097626,4.068,85.25,-23,"ATMS",-11
"78",120.819454977607,3.605,84.261,-22,"ATMS",-10
"79",117.912994243936,3.815,83.255,-21,"ATMS",-9
"80",115.867422703201,4.331,82.234,-20,"ATMS",-8
"81",118.243842620105,4.924,81.203,-19,"ATMS",-7
"82",128.40347486785,5.488,80.188,-18,"ATMS",-6
"83",145.406714744442,6.107,79.218,-17,"ATMS",-5
"84",172.652192533472,6.588,78.246,-16,"ATMS",-4
"85",244.758529532639,7.066,77.34,-15,"ATMS",-3
"86",304.284487425754,7.55,76.531,-14,"ATMS",-2
"87",341.01828084762,8.135,75.833,-13,"ATMS",-1
"88",338.916076186818,8.812,75.19,-12,"ATMS",0
"89",300.509958346589,9.519,74.579,-11,"ATMS",1
"90",265.503149783567,10.246,73.982,-10,"ATMS",2
"91",229.834947095449,10.929,73.401,-9,"ATMS",3
"92",201.003082611742,11.563,72.843,-8,"ATMS",4
"93",176.027590180594,12.163,72.312,-7,"ATMS",5
"94",160.590436573488,12.702,71.798,-6,"ATMS",6
"95",143.017281980954,13.209,71.306,-5,"ATMS",7
"96",129.910694498817,13.724,70.844,-4,"ATMS",8
"97",120.038038740937,14.214,70.383,-3,"ATMS",9
"98",120.859075966789,14.697,69.942,-2,"ATMS",10
"99",124.688088839145,15.197,69.531,-1,"ATMS",11
"100",131.194820601898,15.684,69.141,0,"ATMS",12
"101",143.861004550342,5.427,86.199,-24,"ATMS",-14
"102",118.856244426291,4.068,85.25,-23,"ATMS",-13
"103",113.232939798135,3.605,84.261,-22,"ATMS",-12
"104",103.400919006511,3.815,83.255,-21,"ATMS",-11
"105",100.959426310999,4.331,82.234,-20,"ATMS",-10
"106",106.612393086118,4.924,81.203,-19,"ATMS",-9
"107",116.132145546709,5.488,80.188,-18,"ATMS",-8
"108",125.032139643058,6.107,79.218,-17,"ATMS",-7
"109",138.4282453763,6.588,78.246,-16,"ATMS",-6
"110",167.726493726014,7.066,77.34,-15,"ATMS",-5
"111",188.522517592298,7.55,76.531,-14,"ATMS",-4
"112",216.258997847247,8.135,75.833,-13,"ATMS",-3
"113",234.075197453215,8.812,75.19,-12,"ATMS",-2
"114",259.064816531349,9.519,74.579,-11,"ATMS",-1
"115",280.80130765879,10.246,73.982,-10,"ATMS",0
"116",289.045459635786,10.929,73.401,-9,"ATMS",1
"117",291.513643956659,11.563,72.843,-8,"ATMS",2
"118",271.046330430922,12.163,72.312,-7,"ATMS",3
"119",244.229407027038,12.702,71.798,-6,"ATMS",4
"120",219.632704276938,13.209,71.306,-5,"ATMS",5
"121",210.896781708982,13.724,70.844,-4,"ATMS",6
"122",208.486232953121,14.214,70.383,-3,"ATMS",7
"123",209.844285794143,14.697,69.942,-2,"ATMS",8
"124",207.463790664036,15.197,69.531,-1,"ATMS",9
"125",205.391634218005,15.684,69.141,0,"ATMS",10
"126",139.294465585657,5.427,86.199,-24,"ATMS",-15
"127",122.752572996435,4.068,85.25,-23,"ATMS",-14
"128",113.964848522491,3.605,84.261,-22,"ATMS",-13
"129",103.595876565525,3.815,83.255,-21,"ATMS",-12
"130",93.9202543666108,4.331,82.234,-20,"ATMS",-11
"131",97.3175805478061,4.924,81.203,-19,"ATMS",-10
"132",104.178676243177,5.488,80.188,-18,"ATMS",-9
"133",106.793475986034,6.107,79.218,-17,"ATMS",-8
"134",108.655213191622,6.588,78.246,-16,"ATMS",-7
"135",123.496188913422,7.066,77.34,-15,"ATMS",-6
"136",136.016310226814,7.55,76.531,-14,"ATMS",-5
"137",163.1421294218,8.135,75.833,-13,"ATMS",-4
"138",188.775218536423,8.812,75.19,-12,"ATMS",-3
"139",226.892242751987,9.519,74.579,-11,"ATMS",-2
"140",261.93932700617,10.246,73.982,-10,"ATMS",-1
"141",287.546094701471,10.929,73.401,-9,"ATMS",0
"142",308.28032981817,11.563,72.843,-8,"ATMS",1
"143",304.585178051877,12.163,72.312,-7,"ATMS",2
"144",288.431299516799,12.702,71.798,-6,"ATMS",3
"145",268.184791049955,13.209,71.306,-5,"ATMS",4
"146",251.342271031208,13.724,70.844,-4,"ATMS",5
"147",246.054924953162,14.214,70.383,-3,"ATMS",6
"148",256.184402873347,14.697,69.942,-2,"ATMS",7
"149",253.491218229959,15.197,69.531,-1,"ATMS",8
"150",240.152304498567,15.684,69.141,0,"ATMS",9
"151",134.509910879784,5.427,86.199,-24,"ATMS",-17
"152",124.549009651212,4.068,85.25,-23,"ATMS",-16
"153",112.629534915824,3.605,84.261,-22,"ATMS",-15
"154",103.711023805528,3.815,83.255,-21,"ATMS",-14
"155",91.0965871218813,4.331,82.234,-20,"ATMS",-13
"156",91.5644414660284,4.924,81.203,-19,"ATMS",-12
"157",91.9526299660067,5.488,80.188,-18,"ATMS",-11
"158",94.0574141132617,6.107,79.218,-17,"ATMS",-10
"159",96.3923769972287,6.588,78.246,-16,"ATMS",-9
"160",103.102214466489,7.066,77.34,-15,"ATMS",-8
"161",109.708884240304,7.55,76.531,-14,"ATMS",-7
"162",131.149879810106,8.135,75.833,-13,"ATMS",-6
"163",157.146194023828,8.812,75.19,-12,"ATMS",-5
"164",199.522344181573,9.519,74.579,-11,"ATMS",-4
"165",243.657781821374,10.246,73.982,-10,"ATMS",-3
"166",268.836451128743,10.929,73.401,-9,"ATMS",-2
"167",317.172328066106,11.563,72.843,-8,"ATMS",-1
"168",296.481998308462,12.163,72.312,-7,"ATMS",0
"169",279.233034157655,12.702,71.798,-6,"ATMS",1
"170",276.297897002787,13.209,71.306,-5,"ATMS",2
"171",245.71458869739,13.724,70.844,-4,"ATMS",3
"172",243.808085920554,14.214,70.383,-3,"ATMS",4
"173",266.057334293165,14.697,69.942,-2,"ATMS",5
"174",260.462168811651,15.197,69.531,-1,"ATMS",6
"175",243.852528155408,15.684,69.141,0,"ATMS",7
"176",124.549009651212,4.068,85.25,-23,"ATMS",-18
"177",108.307890751449,3.605,84.261,-22,"ATMS",-17
"178",111.38969349073,3.815,83.255,-21,"ATMS",-16
"179",105.566617403182,4.331,82.234,-20,"ATMS",-15
"180",101.332275054222,4.924,81.203,-19,"ATMS",-14
"181",94.3398504748033,5.488,80.188,-18,"ATMS",-13
"182",89.9463347048799,6.107,79.218,-17,"ATMS",-12
"183",93.6691048874723,6.588,78.246,-16,"ATMS",-11
"184",99.1325606199661,7.066,77.34,-15,"ATMS",-10
"185",102.699025040734,7.55,76.531,-14,"ATMS",-9
"186",106.687764150017,8.135,75.833,-13,"ATMS",-8
"187",121.112345863849,8.812,75.19,-12,"ATMS",-7
"188",138.319557482551,9.519,74.579,-11,"ATMS",-6
"189",162.17700946669,10.246,73.982,-10,"ATMS",-5
"190",162.981651661554,10.929,73.401,-9,"ATMS",-4
"191",193.553171395025,11.563,72.843,-8,"ATMS",-3
"192",177.306739214107,12.163,72.312,-7,"ATMS",-2
"193",191.832776527299,12.702,71.798,-6,"ATMS",-1
"194",237.527072270062,13.209,71.306,-5,"ATMS",0
"195",206.44496013361,13.724,70.844,-4,"ATMS",1
"196",214.649057029908,14.214,70.383,-3,"ATMS",2
"197",260.219329167399,14.697,69.942,-2,"ATMS",3
"198",260.742854068219,15.197,69.531,-1,"ATMS",4
"199",240.345653897331,15.684,69.141,0,"ATMS",5
"200",99.5373825118152,3.605,84.261,-22,"ATMS",-18
"201",99.915381781263,3.815,83.255,-21,"ATMS",-17
"202",96.9668280299481,4.331,82.234,-20,"ATMS",-16
"203",101.840223031668,4.924,81.203,-19,"ATMS",-15
"204",98.1951052462614,5.488,80.188,-18,"ATMS",-14
"205",125.41338187775,6.588,78.246,-16,"ATMS",-12
"206",113.530317533243,7.066,77.34,-15,"ATMS",-11
"207",116.650626366484,7.55,76.531,-14,"ATMS",-10
"208",106.9710559463,8.135,75.833,-13,"ATMS",-9
"209",110.471576920706,8.812,75.19,-12,"ATMS",-8
"210",110.407455186196,9.519,74.579,-11,"ATMS",-7
"211",109.425216410304,10.246,73.982,-10,"ATMS",-6
"212",110.230715358208,10.929,73.401,-9,"ATMS",-5
"213",111.998900476548,11.563,72.843,-8,"ATMS",-4
"214",104.474401459396,12.163,72.312,-7,"ATMS",-3
"215",106.500406697038,12.702,71.798,-6,"ATMS",-2
"216",102.679431005073,13.209,71.306,-5,"ATMS",-1
"217",94.181605695835,13.724,70.844,-4,"ATMS",0
"218",93.4879977881223,14.214,70.383,-3,"ATMS",1
"219",82.9275577536451,14.697,69.942,-2,"ATMS",2
"220",83.3868720910565,15.197,69.531,-1,"ATMS",3
"221",83.0473730501557,15.684,69.141,0,"ATMS",4
